Implemented,Has ArgInfo,Function,Mapped Method,Implementation Comment,Function Comment
,,"Vector2 GetScreenToWorld2D(Vector2 position, Camera2D camera);",TODO,,Returns the world space position for a 2d camera screen space position
,,,,,
,,Timing-related functions,,,
,,void SetTargetFPS(int fps);,raylib\Timming::setTargetFPS(int $fps),,Set target FPS (maximum)
,,int GetFPS(void);,raylib\Timming::getFPS() : int,,Returns current FPS
,,float GetFrameTime(void);,raylib\Timming::getFrameTime() : float,,Returns time in seconds for last frame drawn
,,double GetTime(void);,raylib\Timming::getTime() : float,,Returns elapsed time in seconds since InitWindow()
,,            ,,,
,,Misc. functions          ,,,
,,void SetConfigFlags(unsigned int flags);,\raylib\SetConfigFlags(int $flags),,Setup init configuration flags (view FLAGS)
,,            ,,,
,,void SetTraceLogLevel(int logType);,TODO,,Set the current threshold (minimum) log level
,,void SetTraceLogExit(int logType);,TODO,,Set the exit threshold (minimum) log level
,,void SetTraceLogCallback(TraceLogCallback callback);,TODO,,Set a trace log callback to enable custom logging
,,"void TraceLog(int logType, const char *text, ...);",TODO,,"Show trace log messages (LOG_DEBUG, LOG_INFO, LOG_WARNING, LOG_ERROR)"
,,            ,,,            
,,void *MemAlloc(int size);,--,unused,Internal memory allocator
,,void MemFree(void *ptr);,--,unused,Internal memory free
,,void TakeScreenshot(const char *fileName);,\raylib\TakeScreenshot(string $fileName),,Takes a screenshot of current screen (saved a .png)
,,"int GetRandomValue(int min, int max);",--,see rand(),Returns a random value between min and max (both included)
,,,,,
,,Files management functions,,,
,,"unsigned char *LoadFileData(const char *fileName, unsigned int *bytesRead);",--,see file_get_contents(),Load file data as byte array (read)
,,void UnloadFileData(unsigned char *data);,--,not needed,Unload file data allocated by LoadFileData()
,,"bool SaveFileData(const char *fileName, void *data, unsigned int bytesToWrite);",--,see file_put_contents(),"Save data to file from byte array (write), returns true on success"
,,char *LoadFileText(const char *fileName);,--,see file_get_contents(),"Load text data from file (read), returns a '\0' terminated string"
,,void UnloadFileText(unsigned char *text);,--,not needed,Unload file text data allocated by LoadFileText()
,,"bool SaveFileText(const char *fileName, char *text);",--,see file_put_contents(),"Save text data to file (write), string must be '\0' terminated, returns true on success"
,,bool FileExists(const char *fileName);,--,see file_exists(),Check if file exists
,,bool DirectoryExists(const char *dirPath);,--,see is_dir(),Check if a directory path exists
,,"bool IsFileExtension(const char *fileName, const char *ext);",--,not needed,"Check file extension (including point: .png, .wav)"
,,const char *GetFileExtension(const char *fileName);,--,http://php.net/manual/en/function.pathinfo.php or SplFileInfo,"Get pointer to extension for a filename string (including point: "".png"")"
,,const char *GetFileName(const char *filePath);,--,http://php.net/manual/en/function.pathinfo.php or SplFileInfo,Get pointer to filename for a path string
,,const char *GetFileNameWithoutExt(const char *filePath);,--,http://php.net/manual/en/function.pathinfo.php or SplFileInfo,Get filename string without extension (uses static string)
,,const char *GetDirectoryPath(const char *filePath);,--,http://php.net/manual/en/function.pathinfo.php or SplFileInfo,Get full path for a given fileName with path (uses static string)
,,const char *GetPrevDirectoryPath(const char *dirPath);,--,http://php.net/manual/en/function.pathinfo.php or SplFileInfo,Get previous directory path for a given path (uses static string)
,,const char *GetWorkingDirectory(void);,--,http://php.net/manual/en/function.getcwd.php,Get current working directory (uses static string)
,,"char **GetDirectoryFiles(const char *dirPath, int *count);",--,http://php.net/manual/en/function.dir.php,Get filenames in a directory path (memory should be freed)
,,void ClearDirectoryFiles(void);,--,not needed,Clear directory files paths buffers (free memory)
,,bool ChangeDirectory(const char *dir);,--,http://php.net/manual/en/function.chdir.php,"Change working directory, return true on success"
,,bool IsFileDropped(void);,TODO,,Check if a file has been dropped into window
,,char **GetDroppedFiles(int *count);,TODO,,Get dropped files names (memory should be freed)
,,void ClearDroppedFiles(void);,TODO,,Clear dropped files paths buffer (free memory)
,,long GetFileModTime(const char *fileName);,--,http://php.net/manual/en/function.filemtime.php,Get file modification time (last write time)
,,,,,
,,"unsigned char *CompressData(unsigned char *data, int dataLength, int *compDataLength);",,http://php.net/manual/en/function.gzdeflate.php,Compress data (DEFLATE algorithm)
,,"unsigned char *DecompressData(unsigned char *compData, int compDataLength, int *dataLength);",,http://php.net/manual/en/function.gzinflate.php,Decompress data (DEFLATE algorithm)
,,,,,
,,Input-related functions: keyboard,,,
,,bool IsKeyPressed(int key);,raylib\Input\Key::isPressed(int $key) : bool,,Detect if a key has been pressed once
,,bool IsKeyDown(int key);,raylib\Input\Key::isDown(int $key) : bool,,Detect if a key is being pressed
,,bool IsKeyReleased(int key);,raylib\Input\Key::isReleased(int $key) : bool,,Detect if a key has been released once
,,bool IsKeyUp(int key);,raylib\Input\Key::isUp(int $key) : bool,,Detect if a key is NOT being pressed
,,void SetExitKey(int key);,raylib\Input\Key::setExit(int $key),,Set a custom key to exit program (default is ESC)
,,int GetKeyPressed(void);,raylib\Input\Key::getPressed() : int,,"Get key pressed (keycode), call it multiple times for keys queued"
,,int GetCharPressed(void);,raylib\Input\Key::getKeyPressed() : int,,"Get char pressed (unicode), call it multiple times for chars queued"
,,,,,
,,Input-related functions: gamepads,,,
,,bool IsGamepadAvailable(int gamepad);,raylib\Input\Gamepad::isAvailable(int $gamepad) : bool,,Detect if a gamepad is available
,,"bool IsGamepadName(int gamepad, const char *name);",raylib\Input\Gamepad::isName(int $gamepad) : bool,,Check gamepad name (if available)
,,const char *GetGamepadName(int gamepad);,raylib\Input\Gamepad::getName(int $gamepad) : string,,Return gamepad internal name id
,,"bool IsGamepadButtonPressed(int gamepad, int button);","raylib\Input\Gamepad::isButtonPressed(int $gamepad, int $button) : bool",,Detect if a gamepad button has been pressed once
,,"bool IsGamepadButtonDown(int gamepad, int button);","raylib\Input\Gamepad::isButtonDown(int $gamepad, int $button) : bool",,Detect if a gamepad button is being pressed
,,"bool IsGamepadButtonReleased(int gamepad, int button);","raylib\Input\Gamepad::isButtonReleased(int $gamepad, int $button) : bool",,Detect if a gamepad button has been released once
,,"bool IsGamepadButtonUp(int gamepad, int button);","raylib\Input\Gamepad::isButtonUp(int $gamepad, int $button) : bool",,Detect if a gamepad button is NOT being pressed
,,int GetGamepadButtonPressed(void);,raylib\Input\Gamepad::getButtonPressed() : int,,Get the last gamepad button pressed
,,int GetGamepadAxisCount(int gamepad);,raylib\Input\Gamepad::getAxisCount(int $gamepad) : int,,Return gamepad axis count for a gamepad
,,"float GetGamepadAxisMovement(int gamepad, int axis);","raylib\Input\Gamepad::getAxisMovement(int $gamepad, int $axis) : float",,Return axis movement value for a gamepad axis
,,,,,
,,Input-related functions: mouse,,,
,,bool IsMouseButtonPressed(int button);,raylib\Input\Mouse::isButtonPressed(int $button) : bool,,Detect if a mouse button has been pressed once
,,bool IsMouseButtonDown(int button);,raylib\Input\Mouse::isButtonDown(int $button) : bool,,Detect if a mouse button is being pressed
,,bool IsMouseButtonReleased(int button);,raylib\Input\Mouse::isButtonReleased(int $button) : bool,,Detect if a mouse button has been released once
,,bool IsMouseButtonUp(int button);,raylib\Input\Mouse::isButtonUp(int $button) : bool,,Detect if a mouse button is NOT being pressed
,,int GetMouseX(void);,raylib\Input\Mouse::getX() : int,,Returns mouse position X
,,int GetMouseY(void);,raylib\Input\Mouse::getY() : int,,Returns mouse position Y
,,Vector2 GetMousePosition(void);,raylib\Input\Mouse::getPosition() : Vector2,,Returns mouse position XY
,,"void SetMousePosition(int x, int y);","raylib\Input\Mouse::setPosition(int $x, int $y)",,Set mouse position XY
,,"void SetMouseOffset(int offsetX, int offsetY);","raylib\Input\Mouse::setOffset(int $offsetX, int $offsetY)",,Set mouse offset
,,"void SetMouseScale(float scaleX, float scaleY);","raylib\Input\Mouse::setScale(float $scaleX, float $scaleY)",,Set mouse scaling
,,float GetMouseWheelMove(void);,raylib\Input\Mouse::getWheelMove() : float,,Returns mouse wheel movement Y
,,int GetMouseCursor(void);,raylib\Input\Mouse::getCursor() : int,,Returns mouse cursor if (MouseCursor enum)
,,void SetMouseCursor(int cursor);,raylib\Input\Mouse::setCursor(int $cursor),,Set mouse cursor
,,,,,
,,Input-related functions: touch,,,
,,int GetTouchX(void);,TODO,,Returns touch position X for touch point 0 (relative to screen size)
,,int GetTouchY(void);,TODO,,Returns touch position Y for touch point 0 (relative to screen size)
,,Vector2 GetTouchPosition(int index);,TODO,,Returns touch position XY for a touch point index (relative to screen size)
,,,,,
,,Gestures and Touch Handling Functions (Module: gestures),,,
,,void SetGesturesEnabled(unsigned int gestureFlags);,TODO,,Enable a set of gestures using flags
,,bool IsGestureDetected(int gesture);,TODO,,Check if a gesture have been detected
,,int GetGestureDetected(void);,TODO,,Get latest detected gesture
,,int GetTouchPointsCount(void);,TODO,,Get touch points count
,,float GetGestureHoldDuration(void);,TODO,,Get gesture hold time in milliseconds
,,Vector2 GetGestureDragVector(void);,TODO,,Get gesture drag vector
,,float GetGestureDragAngle(void);,TODO,,Get gesture drag angle
,,Vector2 GetGesturePinchVector(void);,TODO,,Get gesture pinch delta
,,float GetGesturePinchAngle(void);,TODO,,Get gesture pinch angle
,,,,,
,,,,,
,,Camera System Functions (Module: camera),,,
,,"void SetCameraMode(Camera camera, int mode);",TODO,,Set camera mode (multiple camera modes available)
,,void UpdateCamera(Camera *camera);,TODO,,Update camera position for selected mode
,,,,,
,,void SetCameraPanControl(int keyPan);,TODO,,Set camera pan key to combine with mouse movement (free camera)
,,void SetCameraAltControl(int keyAlt);,TODO,,Set camera alt key to combine with mouse movement (free camera)
,,void SetCameraSmoothZoomControl(int keySmoothZoom);,TODO,,Set camera smooth zoom key to combine with mouse (free camera)
,,"void SetCameraMoveControls(int keyFront, int keyBack, int keyRight, int keyLeft, int keyUp, int keyDown);",TODO,,Set camera move controls (1st person and 3rd person cameras)
,,,,,
,,Basic shapes drawing functions,,,
,,"void DrawPixel(int posX, int posY, Color color);","raylib\Draw::pixel(int $posX, int $posY, raylib\Color $color)",,Draw a pixel
,,"void DrawPixelV(Vector2 position, Color color);","raylib\Draw::pixelV(raylib\Vector2 $position, raylib\Color $color)",,Draw a pixel (Vector version)
,,"void DrawLine(int startPosX, int startPosY, int endPosX, int endPosY, Color color);","raylib\Draw::line(int $startPosX, int $startPosY, int $endPosX, int $endPosY, raylib\Color $color)",,Draw a line
,,"void DrawLineV(Vector2 startPos, Vector2 endPos, Color color);","raylib\Draw::lineV(raylib\Vector2 $startPos, raylib\Vector2 $endPos, raylib\Color $color)",,Draw a line (Vector version)
,,"void DrawLineEx(Vector2 startPos, Vector2 endPos, float thick, Color color);","raylib\Draw::lineEx(raylib\Vector2 $startPos, raylib\Vector2 $endPos, float $thick, raylib\Color $color)",,Draw a line defining thickness
,,"void DrawLineBezier(Vector2 startPos, Vector2 endPos, float thick, Color color);","raylib\Draw::lineBezier(raylib\Vector2 $startPos, raylib\Vector2 $endPos, float $thick, raylib\Color $color)",,Draw a line using cubic-bezier curves in-out
,,"void DrawLineStrip(Vector2 *points, int pointsCount, Color color);",TODO,,Draw lines sequence
,,"void DrawCircle(int centerX, int centerY, float radius, Color color);","raylib\Draw::circle(int $centerX, int $centerY, float $radius, raylib\Color $color)",,Draw a color-filled circle
,,"void DrawCircleSector(Vector2 center, float radius, int startAngle, int endAngle, int segments, Color color);","raylib\Draw::circleSector(raylib\Vector2 $center, float $radius, int $startAngle, int $endAngle, int $segments, raylib\Color $color)",,Draw a piece of a circle
,,"void DrawCircleSectorLines(Vector2 center, float radius, int startAngle, int endAngle, int segments, Color color);","raylib\Draw::circleSectorLines(raylib\Vector2 $center, float $radius, int $startAngle, int $endAngle, int $segments, raylib\Color $color)",,Draw circle sector outline
,,"void DrawCircleGradient(int centerX, int centerY, float radius, Color color1, Color color2);","raylib\Draw::circleGradient(int $centerX, int $centerY, float $radius, raylib\Color $color1, raylib\Color $color2)",,Draw a gradient-filled circle
,,"void DrawCircleV(Vector2 center, float radius, Color color);","raylib\Draw::circleV(raylib\Vector2 $center, float $radius, raylib\Color $color)",,Draw a color-filled circle (Vector version)
,,"void DrawCircleLines(int centerX, int centerY, float radius, Color color);","raylib\Draw::circleLines(int $centerX, int $centerY, float $radius, raylib\Color $color)",,Draw circle outline
,,"void DrawEllipse(int centerX, int centerY, float radiusH, float radiusV, Color color);","raylib\Draw::ellipse(int $centerX, int $centerY, float $radiusH, float $radiusV, raylib\Color $color)",,Draw ellipse
,,"void DrawEllipseLines(int centerX, int centerY, float radiusH, float radiusV, Color color);","raylib\Draw::ellipseLines(int $centerX, int $centerY, float $radiusH, float $radiusV, raylib\Color $color)",,Draw ellipse outline
,,"void DrawRing(Vector2 center, float innerRadius, float outerRadius, int startAngle, int endAngle, int segments, Color color);","raylib\Draw::ring(raylib\Vector2 $center, float $innerRadius, float $outerRadius, int $startAngle, int $endAngle, int $segments, raylib\Color $color)",,Draw ring
,,"void DrawRingLines(Vector2 center, float innerRadius, float outerRadius, int startAngle, int endAngle, int segments, Color color);","raylib\Draw::ringLines(raylib\Vector2 $center, float $innerRadius, float $outerRadius, int $startAngle, int $endAngle, int $segments, raylib\Color $color)",,Draw ring outline
,,"void DrawRectangle(int posX, int posY, int width, int height, Color color);","raylib\Draw::rectangle(int $posX, int $posY, int $width, int $height, raylib\Color $color)",,Draw a color-filled rectangle
,,"void DrawRectangleV(Vector2 position, Vector2 size, Color color);","raylib\Draw::rectangleV(raylib\Vector2 $position, raylib\Vector2 $size, raylib\Color $color)",,Draw a color-filled rectangle (Vector version)
,,"void DrawRectangleRec(Rectangle rec, Color color);","raylib\Draw::rectangleRec(raylib\Rectangle $rec, raylib\Color $color)",,Draw a color-filled rectangle
,,"void DrawRectanglePro(Rectangle rec, Vector2 origin, float rotation, Color color);","raylib\Draw::rectanglePro(raylib\Rectangle $rec, raylib\Vector2 $origin, float $rotation, raylib\Color $color)",,Draw a color-filled rectangle with pro parameters
,,"void DrawRectangleGradientV(int posX, int posY, int width, int height, Color color1, Color color2);","raylib\Draw::rectangleGradientV(int $posX, int $posY, int $width, int $height, raylib\Color $color1, raylib\Color $color2)",,Draw a vertical-gradient-filled rectangle
,,"void DrawRectangleGradientH(int posX, int posY, int width, int height, Color color1, Color color2);","raylib\Draw::rectangleGradientV(int $posX, int $posY, int $width, int $height, raylib\Color $color1, raylib\Color $color2)",,Draw a horizontal-gradient-filled rectangle
,,"void DrawRectangleGradientEx(Rectangle rec, Color col1, Color col2, Color col3, Color col4);","raylib\Draw::rectangleGradientEx(raylib\Rectangle $rec, raylib\Color $col1, raylib\Color $col2, raylib\Color $col3, raylib\Color $col4)",,Draw a gradient-filled rectangle with custom vertex colors
,,"void DrawRectangleLines(int posX, int posY, int width, int height, Color color);","raylib\Draw::rectangleLines(int $posX, int $posY, int $width, int $height, raylib\Color $color)",,Draw rectangle outline
,,"void DrawRectangleLinesEx(Rectangle rec, int lineThick, Color color);","raylib\Draw::rectangleLinesEx(raylib\Rectangle $rec, int $lineThick, raylib\Color color)",,Draw rectangle outline with extended parameters
,,"void DrawRectangleRounded(Rectangle rec, float roundness, int segments, Color color);","raylib\Draw::rectangleRounded(raylib\Rectangle $rec, float $roundness, int $segments, raylib\Color color)",,Draw rectangle with rounded edges
,,"void DrawRectangleRoundedLines(Rectangle rec, float roundness, int segments, int lineThick, Color color);","raylib\Draw::rectangleRoundedLines(raylib\Rectangle $rec, float $roundness, int $segments, int $lineThick, raylib\Color color)",,Draw rectangle with rounded edges outline
,,"void DrawTriangle(Vector2 v1, Vector2 v2, Vector2 v3, Color color);","raylib\Draw::triangle(raylib\Vector2 $v1, raylib\Vector2 $v2, raylib\Vector2 $v3, raylib\Color $color)",,Draw a color-filled triangle (vertex in counter-clockwise order!)
,,"void DrawTriangleLines(Vector2 v1, Vector2 v2, Vector2 v3, Color color);","raylib\triangleLines(raylib\Vector2 v1, raylib\Vector2 v2, raylib\Vector2 v3, raylib\Color color)",,Draw triangle outline (vertex in counter-clockwise order!)
,,"void DrawTriangleFan(Vector2 *points, int pointsCount, Color color);","raylib\Draw::triangleFan(raylib\Vector2[] $points, raylib\Color $color)",,Draw a triangle fan defined by points (first vertex is the center)
,,"void DrawTriangleStrip(Vector2 *points, int pointsCount, Color color);","raylib\Draw::triangleStrip(raylib\Vector2[] $points, raylib\Color $color)",,Draw a triangle strip defined by points
,,"void DrawPoly(Vector2 center, int sides, float radius, float rotation, Color color);","raylib\Draw::poly(raylib\Vector2 $center, int $sides, float $radius, float $rotation, raylib\Color $color)",,Draw a regular polygon (Vector version)
,,"void DrawPolyLines(Vector2 center, int sides, float radius, float rotation, Color color);","raylib\Draw::polyLines(raylib\Vector2 $center, int $sides, float $radius, float $rotation, raylib\Color $color)",,Draw a polygon outline of n sides
,,,,,
,,Basic shapes collision detection functions,,,
,,"bool CheckCollisionRecs(Rectangle rec1, Rectangle rec2);","raylib\Collision\checkRecs(raylib\Rectangle $rec1, raylib\Rectangle $rec2)",,Check collision between two rectangles
,,"bool CheckCollisionCircles(Vector2 center1, float radius1, Vector2 center2, float radius2);","raylib\Collision\checkCircles(raylib\Vector2 center1, float radius1, raylib\Vector2 center2, float radius2)",,Check collision between two circles
,,"bool CheckCollisionCircleRec(Vector2 center, float radius, Rectangle rec);","raylib\Collision\checkCircleRec(raylib\Vector2 center, float radius, raylib\Rectangle rec)",,Check collision between circle and rectangle
,,"bool CheckCollisionPointRec(Vector2 point, Rectangle rec);","raylib\Collision\checkPointRec(raylib\Vector2 point, raylib\Rectangle rec)",,Check if point is inside rectangle
,,"bool CheckCollisionPointCircle(Vector2 point, Vector2 center, float radius);","raylib\Collision\checkPointCircle(raylib\Vector2 point, raylib\Vector2 center, float radius)",,Check if point is inside circle
,,"bool CheckCollisionPointTriangle(Vector2 point, Vector2 p1, Vector2 p2, Vector2 p3);","raylib\Collision\checkPointTriangle(raylib\Vector2 point, raylib\Vector2 p1, raylib\Vector2 p2, Vector2 p3)",,Check if point is inside a triangle
,,"bool CheckCollisionLines(Vector2 startPos1, Vector2 endPos1, Vector2 startPos2, Vector2 endPos2, Vector2 *collisionPoint);",TODO,,"Check the collision between two lines defined by two points each, returns collision point by reference"
,,"Rectangle GetCollisionRec(Rectangle rec1, Rectangle rec2);","raylib\Collision\getRec(raylib\Rectangle rec1, raylib\Rectangle rec2) : raylib\Rectangle",,Get collision rectangle for two rectangles collision
,,,,,
,,Image loading functions,,,
,,Image LoadImage(const char *fileName);,new raylib\Image(string $filename),,Load image from file into CPU memory (RAM)
,,"Image LoadImageRaw(const char *fileName, int width, int height, int format, int headerSize);","raylib\Image::fromRaw(string $fileName, int $width, int $height, int $format, int $headerSize)",,Load image from RAW file data
,,"Image LoadImageAnim(const char *fileName, int *frames);",TODO,,Load image sequence from file (frames appended to image.data)
,,"Image LoadImageFromMemory(const char *fileType, const unsigned char *fileData, int dataSize);",TODO,,"Load image from memory buffer, fileType refers to extension: i.e. ""png"""
,,void UnloadImage(Image image);,--,unset($image),Unload image from CPU memory (RAM)
,,"bool ExportImage(Image image, const char *fileName);",raylib\Image->export(string $fileName),,"Export image data to file, returns true on success"
,,"bool ExportImageAsCode(Image image, const char *fileName);",raylib\Image->exportAsCode(string $fileName),,"Export image as code file defining an array of bytes, returns true on success"
,,,,,
,,Image generation functions,,,
,,"Image GenImageColor(int width, int height, Color color);",TODO,,Generate image: plain color
,,"Image GenImageGradientV(int width, int height, Color top, Color bottom);",TODO,,Generate image: vertical gradient
,,"Image GenImageGradientH(int width, int height, Color left, Color right);",TODO,,Generate image: horizontal gradient
,,"Image GenImageGradientRadial(int width, int height, float density, Color inner, Color outer);",TODO,,Generate image: radial gradient
,,"Image GenImageChecked(int width, int height, int checksX, int checksY, Color col1, Color col2);",TODO,,Generate image: checked
,,"Image GenImageWhiteNoise(int width, int height, float factor);",TODO,,Generate image: white noise
,,"Image GenImagePerlinNoise(int width, int height, int offsetX, int offsetY, float scale);",TODO,,Generate image: perlin noise
,,"Image GenImageCellular(int width, int height, int tileSize);",TODO,,Generate image: cellular algorithm. Bigger tileSize means bigger cells
,,,,,
,,Image manipulation functions,,,
,,Image ImageCopy(Image image);,raylib\Image->copy() : raylib\Image,,Create an image duplicate (useful for transformations)
,,"Image ImageFromImage(Image image, Rectangle rec);","raylib\Image->fromImage(raylib\Image $image, raylib\Rectangle $rec) : raylib\Image",,Create an image from another image piece
,,"Image ImageText(const char *text, int fontSize, Color color);","raylib\Image->fromDefaultFont(string $text ,int $fontSize, raylib\Color $color) : raylib\Image",,Create an image from text (default font)
,,"Image ImageTextEx(Font font, const char *text, float fontSize, float spacing, Color tint);","raylib\Image->fromFont(raylib\Font $font, string $text ,int $fontSize, float $spacing, raylib\Color $color) : raylib\Image",,Create an image from text (custom sprite font)
,,"void ImageFormat(Image *image, int newFormat);",raylib\Image->format(int $newFormat),,Convert image data to desired format
,,"void ImageToPOT(Image *image, Color fill);",raylib\Image->toPot(raylib\Color $fillColor),,Convert image to POT (power-of-two)
,,"void ImageCrop(Image *image, Rectangle crop);",raylib\Image->crop(raylib\Rectangle $crop),,Crop an image to a defined rectangle
